,lstrLevel,lsregion,lscc,lsccDesc,lsrcode,lsrcodeDesc,lsaa,lsaaDesc,lstt,lsttDesc,lsmm,lsmmDesc,lsyymm,lssumtotMale,lssumtotFemale,lssumtotTot
45,0,0,57,จังหวัดเชียงราย, , ,0, ,0, ,0, ,6601,630470,668949,1299419
46,0,0,58,จังหวัดแม่ฮ่องสอน, , ,0, ,0, ,0, ,6601,145157,141662,286819
47,0,0,60,จังหวัดนครสวรรค์, , ,0, ,0, ,0, ,6601,500840,527292,1028132
48,0,0,61,จังหวัดอุทัยธานี, , ,0, ,0, ,0, ,6601,158032,165667,323699
49,0,0,62,จังหวัดกำแพงเพชร, , ,0, ,0, ,0, ,6601,349476,358900,708376
50,0,0,63,จังหวัดตาก, , ,0, ,0, ,0, ,6601,346043,338730,684773
51,0,0,64,จังหวัดสุโขทัย, , ,0, ,0, ,0, ,6601,281196,300064,581260
52,0,0,65,จังหวัดพิษณุโลก, , ,0, ,0, ,0, ,6601,412465,431572,844037
53,0,0,66,จังหวัดพิจิตร, , ,0, ,0, ,0, ,6601,256186,269459,525645
54,0,0,67,จังหวัดเพชรบูรณ์, , ,0, ,0, ,0, ,6601,478859,494003,972862
55,0,0,70,จังหวัดราชบุรี, , ,0, ,0, ,0, ,6601,420159,445439,865598
56,0,0,71,จังหวัดกาญจนบุรี, , ,0, ,0, ,0, ,6601,447950,446232,894182
57,0,0,72,จังหวัดสุพรรณบุรี, , ,0, ,0, ,0, ,6601,400077,430101,830178
58,0,0,73,จังหวัดนครปฐม, , ,0, ,0, ,0, ,6601,442259,479542,921801
59,0,0,74,จังหวัดสมุทรสาคร, , ,0, ,0, ,0, ,6601,283496,306068,589564
60,0,0,75,จังหวัดสมุทรสงคราม, , ,0, ,0, ,0, ,6601,90317,98984,189301
61,0,0,76,จังหวัดเพชรบุรี, , ,0, ,0, ,0, ,6601,232523,250362,482885
62,0,0,77,จังหวัดประจวบคีรีขันธ์, , ,0, ,0, ,0, ,6601,273537,279824,553361
63,0,0,80,จังหวัดนครศรีธรรมราช, , ,0, ,0, ,0, ,6601,762446,782232,1544678
64,0,0,81,จังหวัดกระบี่, , ,0, ,0, ,0, ,6601,238489,241663,480152
65,0,0,82,จังหวัดพังงา, , ,0, ,0, ,0, ,6601,133410,133920,267330
66,0,0,83,จังหวัดภูเก็ต, , ,0, ,0, ,0, ,6601,197170,220966,418136
67,0,0,84,จังหวัดสุราษฎร์ธานี, , ,0, ,0, ,0, ,6601,527571,546175,1073746
68,0,0,85,จังหวัดระนอง, , ,0, ,0, ,0, ,6601,97752,96336,194088
69,0,0,86,จังหวัดชุมพร, , ,0, ,0, ,0, ,6601,251246,258104,509350
70,0,0,90,จังหวัดสงขลา, , ,0, ,0, ,0, ,6601,696559,734659,1431218
71,0,0,91,จังหวัดสตูล, , ,0, ,0, ,0, ,6601,161909,163494,325403
72,0,0,92,จังหวัดตรัง, , ,0, ,0, ,0, ,6601,311719,326286,638005
73,0,0,93,จังหวัดพัทลุง, , ,0, ,0, ,0, ,6601,253801,267858,521659
74,0,0,94,จังหวัดปัตตานี, , ,0, ,0, ,0, ,6601,362418,370873,733291
75,0,0,95,จังหวัดยะลา, , ,0, ,0, ,0, ,6601,271615,274643,546258
76,0,0,96,จังหวัดนราธิวาส, , ,0, ,0, ,0, ,6601,402812,411656,814468
