,budgetYear,REG_ONCB,REG_NAME,PROV_ID,PROV_NAME,arrestAll_case,arrestAll_per,arrestTreat_case,arrestTreat_per,arrestOccupy_case,arrestOccupy_per,arrestOccupy4sale_case,arrestOccupy4sale_per,arrestSale_case,arrestSale_per,arrestProduct_case,arrestProduct_per,arrestImport_case,arrestImport_per,arrestExport_case,arrestExport_per,arrestJoincase_cas,arrestJoincase_per,arrest5Main_case,arrest5Main_per
230,2559,09,ปปส.ภาค 9,91,สตูล,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
231,2560,10,กรุงเทพมหานคร,10,กรุงเทพมหานคร,28762,31340,11871,12371,9224,9997,6374,7129,950,1084,316,709,0.0,0.0,2.0,2.0,10.0,28.0,7642,7642
232,2560,01,ปปส.ภาค 1,18,ชัยนาท,729,807,200,202,137,144,175,200,210,254,5,5,0.0,0.0,0.0,0.0,2.0,2.0,390,390
233,2560,01,ปปส.ภาค 1,12,นนทบุรี,3562,3786,553,556,1808,1858,1067,1192,118,147,11,17,1.0,1.0,0.0,0.0,4.0,15.0,1197,1197
234,2560,01,ปปส.ภาค 1,13,ปทุมธานี,3656,3994,450,475,1694,1772,1346,1527,83,92,62,96,0.0,0.0,0.0,0.0,4.0,15.0,1491,1491
235,2560,01,ปปส.ภาค 1,14,พระนครศรีอยุธยา,2893,3331,378,410,1267,1394,1071,1311,164,193,8,9,0.0,0.0,0.0,0.0,4.0,12.0,1243,1243
236,2560,01,ปปส.ภาค 1,16,ลพบุรี,2835,3039,727,746,964,992,873,973,261,314,3,3,0.0,0.0,0.0,0.0,6.0,10.0,1137,1137
237,2560,01,ปปส.ภาค 1,11,สมุทรปราการ,6121,6335,820,828,3348,3402,1723,1834,201,221,22,26,0.0,1.0,0.0,0.0,5.0,21.0,1946,1946
238,2560,01,ปปส.ภาค 1,19,สระบุรี,2058,2232,69,71,1264,1326,655,752,58,70,10,10,1.0,2.0,0.0,0.0,0.0,0.0,724,724
239,2560,01,ปปส.ภาค 1,17,สิงห์บุรี,753,821,127,135,221,229,358,402,41,48,5,5,0.0,0.0,0.0,0.0,1.0,2.0,404,404
240,2560,01,ปปส.ภาค 1,15,อ่างทอง,748,866,208,228,204,229,276,334,51,64,8,10,0.0,0.0,0.0,0.0,1.0,1.0,335,335
241,2560,02,ปปส.ภาค 2,22,จันทบุรี,1952,2069,1031,1055,380,394,428,495,87,97,23,23,2.0,2.0,0.0,0.0,1.0,3.0,540,540
242,2560,02,ปปส.ภาค 2,24,ฉะเชิงเทรา,4568,4754,2534,2579,1096,1135,672,740,226,256,37,38,0.0,0.0,0.0,0.0,1.0,4.0,935,935
243,2560,02,ปปส.ภาค 2,20,ชลบุรี,8403,8887,4180,4313,1807,1860,2065,2331,332,362,12,12,1.0,1.0,1.0,2.0,3.0,4.0,2411,2411
244,2560,02,ปปส.ภาค 2,23,ตราด,712,774,313,316,185,204,138,161,53,68,19,20,1.0,2.0,0.0,0.0,1.0,1.0,211,211
245,2560,02,ปปส.ภาค 2,26,นครนายก,2146,2238,1250,1264,500,522,347,393,34,41,11,11,0.0,0.0,0.0,0.0,4.0,7.0,392,392
246,2560,02,ปปส.ภาค 2,25,ปราจีนบุรี,3150,3247,1737,1741,753,766,604,677,52,59,2,2,0.0,0.0,0.0,0.0,1.0,1.0,658,658
247,2560,02,ปปส.ภาค 2,21,ระยอง,6688,6885,3636,3655,1701,1727,1029,1138,301,338,17,17,0.0,0.0,0.0,0.0,1.0,3.0,1347,1347
248,2560,02,ปปส.ภาค 2,27,สระแก้ว,2591,2713,1626,1640,441,463,351,409,162,187,10,10,0.0,0.0,0.0,0.0,1.0,4.0,523,523
249,2560,03,ปปส.ภาค 3,36,ชัยภูมิ,3136,3303,1202,1213,845,875,790,884,245,261,43,46,1.0,1.0,0.0,0.0,8.0,21.0,1079,1079
250,2560,03,ปปส.ภาค 3,30,นครราชสีมา,4894,5259,1623,1650,1604,1661,1237,1430,372,453,52,56,0.0,0.0,0.0,0.0,3.0,6.0,1661,1661
251,2560,03,ปปส.ภาค 3,31,บุรีรัมย์,2411,2654,1265,1277,416,453,498,621,212,279,19,19,0.0,0.0,0.0,0.0,1.0,1.0,729,729
252,2560,03,ปปส.ภาค 3,35,ยโสธร,2312,2443,1437,1468,320,333,266,301,254,286,19,22,0.0,0.0,0.0,0.0,16.0,33.0,539,539
253,2560,03,ปปส.ภาค 3,33,ศรีสะเกษ,3998,4159,2353,2373,764,805,580,645,268,302,30,30,0.0,0.0,0.0,0.0,0.0,0.0,878,878
254,2560,03,ปปส.ภาค 3,32,สุรินทร์,2187,2473,1309,1326,192,214,352,470,287,404,29,30,10.0,13.0,0.0,0.0,7.0,15.0,678,678
255,2560,03,ปปส.ภาค 3,37,อำนาจเจริญ,2500,2578,1734,1749,293,300,241,274,211,226,14,14,2.0,2.0,0.0,0.0,4.0,12.0,468,468
256,2560,03,ปปส.ภาค 3,34,อุบลราชธานี,7200,7575,4393,4477,1041,1091,972,1147,745,808,30,30,8.0,10.0,2.0,2.0,2.0,3.0,1757,1757
257,2560,04,ปปส.ภาค 4,46,กาฬสินธุ์,2613,2863,482,496,932,999,971,1113,178,201,38,38,0.0,0.0,0.0,0.0,5.0,8.0,1187,1187
258,2560,04,ปปส.ภาค 4,40,ขอนแก่น,5209,5495,2441,2490,1459,1530,1022,1151,268,305,16,16,0.0,0.0,0.0,0.0,0.0,0.0,1306,1306
259,2560,04,ปปส.ภาค 4,48,นครพนม,2167,2372,1105,1116,401,437,545,671,99,127,12,12,4.0,6.0,0.0,0.0,1.0,3.0,660,660
260,2560,04,ปปส.ภาค 4,38,บึงกาฬ,2071,2243,900,905,566,600,574,703,10,12,18,18,2.0,4.0,0.0,0.0,0.0,0.0,604,604
261,2560,04,ปปส.ภาค 4,44,มหาสารคาม,1946,2043,403,412,849,877,579,622,98,115,14,14,0.0,0.0,0.0,0.0,2.0,2.0,691,691
262,2560,04,ปปส.ภาค 4,49,มุกดาหาร,1944,2087,1179,1222,418,444,286,351,49,55,7,7,5.0,5.0,0.0,0.0,0.0,1.0,347,347
263,2560,04,ปปส.ภาค 4,45,ร้อยเอ็ด,2352,2508,1004,1024,638,674,620,702,75,83,9,9,0.0,0.0,0.0,0.0,3.0,9.0,704,704
264,2560,04,ปปส.ภาค 4,42,เลย,2006,2208,690,706,730,789,514,621,52,69,17,18,2.0,3.0,0.0,0.0,0.0,0.0,585,585
265,2560,04,ปปส.ภาค 4,47,สกลนคร,1861,2048,468,478,614,639,474,565,272,329,29,32,0.0,0.0,0.0,0.0,0.0,1.0,775,775
266,2560,04,ปปส.ภาค 4,43,หนองคาย,2653,2782,1589,1598,560,575,436,527,37,45,8,8,23.0,28.0,0.0,0.0,0.0,0.0,504,504
267,2560,04,ปปส.ภาค 4,39,หนองบัวลำภู,553,628,34,38,250,269,222,268,36,41,11,12,0.0,0.0,0.0,0.0,0.0,0.0,269,269
268,2560,04,ปปส.ภาค 4,41,อุดรธานี,2876,3087,524,527,976,1020,1194,1333,152,174,26,26,0.0,0.0,0.0,0.0,1.0,4.0,1372,1372
269,2560,05,ปปส.ภาค 5,57,เชียงราย,4150,4692,2293,2389,719,796,840,1128,230,290,48,56,8.0,17.0,0.0,0.0,1.0,5.0,1126,1126
270,2560,05,ปปส.ภาค 5,50,เชียงใหม่,7442,8186,3248,3321,2030,2149,1728,2161,411,523,17,19,0.0,0.0,2.0,2.0,2.0,7.0,2158,2158
271,2560,05,ปปส.ภาค 5,55,น่าน,1411,1549,648,659,336,366,356,438,64,78,6,7,1.0,1.0,0.0,0.0,0.0,0.0,427,427
272,2560,05,ปปส.ภาค 5,56,พะเยา,1564,1775,923,979,258,296,276,365,101,127,5,7,1.0,1.0,0.0,0.0,0.0,0.0,383,383
273,2560,05,ปปส.ภาค 5,54,แพร่,2268,2469,1557,1619,298,326,298,386,92,107,22,28,1.0,1.0,0.0,0.0,0.0,2.0,413,413
274,2560,05,ปปส.ภาค 5,58,แม่ฮ่องสอน,406,458,234,248,102,118,50,60,16,28,4,4,0.0,0.0,0.0,0.0,0.0,0.0,70,70
275,2560,05,ปปส.ภาค 5,52,ลำปาง,2604,2837,1402,1420,480,508,473,604,241,295,6,7,0.0,0.0,0.0,0.0,2.0,3.0,720,720
276,2560,05,ปปส.ภาค 5,51,ลำพูน,1793,1944,972,1024,392,403,332,396,88,106,3,3,1.0,1.0,1.0,1.0,3.0,9.0,425,425
277,2560,06,ปปส.ภาค 6,62,กำแพงเพชร,1433,1621,518,521,274,305,245,285,371,480,21,22,0.0,0.0,0.0,0.0,3.0,7.0,637,637
278,2560,06,ปปส.ภาค 6,63,ตาก,1467,1652,766,767,361,404,188,241,129,156,19,79,3.0,4.0,0.0,0.0,0.0,0.0,339,339
279,2560,06,ปปส.ภาค 6,60,นครสวรรค์,2024,2224,154,159,905,946,696,801,250,297,18,20,0.0,0.0,0.0,0.0,0.0,0.0,964,964
280,2560,06,ปปส.ภาค 6,66,พิจิตร,932,1101,161,180,191,220,337,405,225,275,16,16,0.0,0.0,0.0,0.0,2.0,5.0,578,578
281,2560,06,ปปส.ภาค 6,65,พิษณุโลก,1297,1561,363,375,236,263,353,466,321,426,22,22,0.0,0.0,0.0,0.0,2.0,9.0,696,696
282,2560,06,ปปส.ภาค 6,67,เพชรบูรณ์,2101,2349,710,715,550,594,487,600,334,418,20,22,0.0,0.0,0.0,0.0,0.0,0.0,841,841
283,2560,06,ปปส.ภาค 6,64,สุโขทัย,860,1027,119,124,272,301,254,313,194,263,17,17,0.0,0.0,0.0,0.0,0.0,2.0,465,465
284,2560,06,ปปส.ภาค 6,53,อุตรดิตถ์,1015,1200,183,210,263,278,396,481,159,214,12,14,0.0,0.0,0.0,0.0,0.0,0.0,567,567
285,2560,06,ปปส.ภาค 6,61,อุทัยธานี,596,655,283,285,88,94,128,155,87,110,9,9,0.0,0.0,0.0,0.0,1.0,2.0,224,224
286,2560,07,ปปส.ภาค 7,71,กาญจนบุรี,3575,3848,1370,1412,1191,1254,757,889,239,268,15,16,1.0,3.0,0.0,0.0,2.0,3.0,1012,1012
287,2560,07,ปปส.ภาค 7,73,นครปฐม,3813,4061,1837,1909,847,880,790,878,305,349,21,21,1.0,1.0,0.0,0.0,10.0,21.0,1117,1117
288,2560,07,ปปส.ภาค 7,77,ประจวบคีรีขันธ์,2011,2273,401,424,593,636,514,606,378,441,118,146,1.0,1.0,0.0,0.0,6.0,19.0,1011,1011
289,2560,07,ปปส.ภาค 7,76,เพชรบุรี,1720,1996,686,741,484,520,327,447,196,244,21,28,1.0,1.0,0.0,0.0,4.0,14.0,545,545
